title,gender,country,desc,category,imgURL,price,sale,operation
Короткий пуховик с капюшоном,Женский,Китай,"Короткий пуховик с капюшоном

- Пуховик прямого силуэта с рукавом-реглан
- Несъёмный капюшон
- Карманы по шву на молнии
- Асимметричная застёжка на кнопки

- Длина: 63 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Вьетнам
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/83f/686_950_57d6/37608180299.jpg,3999,0,create
Пуховик средней длины с капюшоном,Женский,Вьетнам,"Пуховик средней длины с капюшоном

- Несъёмный капюшон
- 3 внешних кармана и 1 внутренний карман
- Застёжка на молнию
- Трикотажные манжеты на рукавах
- Длина: 101 см

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/b13/686_950_0440/37609270299.jpg,6999,0,create
Пуховик с капюшоном и контрастной фурнитурой,Женский,Россия,"Пуховик с капюшоном и контрастной фурнитурой

- Пуховик расклешённого силуэта
- Несъёмный капюшон с регулировкой
- Карманы на молниях
- Застёжка на молнию
- Ветрозащитная планка
- Трикотажная резинка на манжетах

- Длина: 69 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Полиэстер; Утеплитель: 70% Пух утиный серый, 30% Перо; Утеплитель Рукава, Капюшона: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/e11/686_950_56ba/38365240299.jpg,5999,0,create
Утепленная длинная куртка с капюшоном,Женский,Китай,"Утепленная длинная куртка с капюшоном

- Пуховик прямого силуэта
- Несъемный капюшон с регулировкой и воротником-стойкой
- Карманы-листочки
- Застежка на молнию
- Ветрозащитная планка
- Декоративный шеврон на рукаве

- Длина: 89,5 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Вьетнам
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/740/686_950_1936/38666000299.jpg,4999,0,create
Длинное пальто с капюшоном,Женский,Вьетнам,"Длинное пальто с капюшоном

- Несъёмный капюшон
- 2 внешних кармана на молнии и 1 внутренний карман
- Застёжка на молнию
- Длина: 105 см

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/793/686_950_e005/37608820299.jpg,7999,0,create
Утепленная парка с капюшоном,Женский,Китай,"Утепленная парка с капюшоном

- Несъемный капюшон
- 2 больших накладных кармана и 1 внутренний карман
- Застежка на молнию
- Ветрозащитная планка
- Декоративный текст на рукаве

- Длина: 80 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/82d/686_950_fc7d/37449840299.jpg,5999,0,create
Пуховик средней длины с капюшоном вариант 2,Женский,Россия,"Пуховик средней длины с капюшоном

- Несъёмный капюшон
- Рукава-регланы
- 2 внешних кармана на молнии и 1 внутренний карман
- Застёжка на молнию
- Ветрозащитная планка
- Длина: 82,5 см

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Состав: Верх: 100% Нейлон; Подкл: 100% Полиэстер; Наполнитель для тела: 70% Пух утиный серый, 30% Перо; Утеплитель Рукава, Капюшона: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/874/686_950_b46b/37489140299.jpg,7999,0,create
Утепленная парка с капюшоном вариант 2,Женский,Китай,"Утепленная парка с капюшоном

- Несъемный капюшон
- 2 больших накладных кармана и 1 внутренний карман
- Застежка на молнию
- Ветрозащитная планка
- Декоративный текст на рукаве

- Длина: 80 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/cbe/686_950_30b1/37449770299.jpg,5999,0,create
Длинное пальто с капюшоном вариант 2,Женский,Вьетнам,"Длинное пальто с капюшоном

- Несъёмный капюшон
- 2 внешних кармана на молнии и 1 внутренний карман
- Застёжка на молнию
- Длина: 105 см

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/81a/686_950_9a04/37489220299.jpg,7999,0,create
Длинный пуховик с контрастной фурнитурой вариант 2,Женский,Китай,"Длинный пуховик с контрастной фурнитурой

- Несъёмный капюшон
- 5 внешних карманов и 1 внутренний карман
- Застёжка на молнию и кнопки
- Ветрозащитная планка
- Манжеты на рукавах
- Разрезы по бокам на кнопках
- Потайная кулиска

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Состав: Верх: 100% Полиэстер; Подкл: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/26a/686_950_a5d7/37609000299.jpg,6999,0,create
Ультралегкая куртка с воротником-стойкой и застежкой на пластиковых кнопках,Женский,Китай,"Ультралегкая куртка с воротником-стойкой и застежкой на пластиковых кнопках

- Куртка прилегающего силуэта
- Воротник-стойка
- Карманы вдоль шва
- Застежка на пуговицах

- Длина: 56 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Нейлон; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/8c2/686_950_17de/37373630299.jpg,1499,0,create
Короткий пуховик с декоративной металлической тканью вариант 2,Женский,Китай,"Короткий пуховик с декоративной металлической тканью

- Пуховик прямого силуэта
- Воротник-стойка
- Карманы-листочки
- Застёжка на молнию и кнопки
- Ветрозащитная планка
- Кулиска по низу
- Отвороты на рукавах

- Длина: 71 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/ea3/686_950_43c6/37488760299.jpg,9999,20,create
Короткая базовая ультралёгкая курткас капюшоном вариант 2,Женский,Россия,"Короткая базовая ультралёгкая куртка с капюшоном

- Куртка прилегающего силуэта с акцентом на талию
- Несъёмный капюшон
- Шевронная и горизонтальная стёжка
- Карманы вдоль шва
- Застёжка на молнию
- Декоративный шеврон на рукаве

- Длина: 64,7 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Вьетнам
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/442/686_950_4ff8/38331790299.jpg,2899,29,create
Короткая базовая ультралёгкая куртка с капюшоном вариант 3,Женский,Китай,"Короткая базовая ультралёгкая куртка с капюшоном

- Куртка прилегающего силуэта с акцентом на талию
- Несъёмный капюшон
- Шевронная и горизонтальная стёжка
- Карманы вдоль шва
- Застёжка на молнию
- Декоративный шеврон на рукаве

- Длина: 64,7 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Вьетнам
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/5de/686_950_4e4f/37607420299.jpg,3499,29,create
Пуховик средней длины с объёмным воротником вариант 2,Женский,Вьетнам,"Пуховик средней длины с объёмным воротником

- Пуховик расширенного силуэта
- Объёмный воротник
- Застёжка на молнию
- Ветрозащитная планка
- 2 внешних кармана на молнии

- Длина: 83 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Нейлон; Утеплитель Основная часть: 70% Пух утиный серый, 30% Перо; Утеплитель Рукава, Капюшона: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/6ea/686_950_b0ec/38369880299.jpg,5499,25,create
Короткий пуховик с воротником-стойкой вариант 3,Женский,Россия,"Короткий пуховик с воротником-стойкой и металлическими молниями

- Пуховик прямого силуэта
- Воротник-стойка
- 2 внешних кармана на молнии
- Застежка на молнию
- Ветрозащитная планка
- Резинка по низу

- Длина: 62 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/be8/686_950_0623/38683860299.jpg,3999,0,create
Пальто силуэта кокон с трикотажными манжетами вариант 2,Женский,Китай,"Пальто силуэта кокон с трикотажными манжетами

- Пуховик прямого силуэта
- Несъёмный капюшон с регулировкой
- Застёжка на молнию
- Ветрозащитная планка
- 2 внешних кармана
- Трикотажная резинка на манжетах

- Длина: 80 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/569/686_950_9b3e/37608440299.jpg,5459,0,create
Утепленная длинная куртка скапюшоном  вариант 2,Женский,Россия,"Утепленная длинная куртка с капюшоном
- Пуховик прямого силуэта
- Несъемный капюшон с регулировкой и воротником-стойкой
- Карманы-листочки
- Застежка на молнию
- Ветрозащитная планка
- Декоративный шеврон на рукаве

- Длина: 89,5 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Вьетнам
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/eab/686_950_d2c8/38650490299.jpg,4599,0,create
Длинный пуховик с капюшоном вариант 2,Женский,Россия,"Длинный пуховик с капюшоном

- Несъёмный регулируемый капюшон
- 2 внешних кармана
- Застёжка на молнию
- Длина: 102 см

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/032/686_950_3a59/37489310299.jpg,11999,0,create
Длинный пуховик с контрастной фурнитурой вариант 3,Женский,Вьетнам,"Длинный пуховик с контрастной фурнитурой

- Несъёмный капюшон
- 5 внешних карманов и 1 внутренний карман
- Застёжка на молнию и кнопки
- Ветрозащитная планка
- Манжеты на рукавах
- Разрезы по бокам на кнопках
- Потайная кулиска

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Состав: Верх: 100% Полиэстер; Подкл: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/f2e/686_950_b95c/37609090299.jpg,5999,0,create
Короткий пуховик с воротником-стойкой вариант 4,Женский,Россия,"Короткий пуховик с воротником-стойкой и металлическими молниями

- Пуховик прямого силуэта
- Воротник-стойка
- 2 внешних кармана на молнии
- Застежка на молнию
- Ветрозащитная планка
- Резинка по низу

- Длина: 62 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/d8a/686_950_9399/38649920299.jpg,8777,0,create
Короткий пуховик с капюшоном вариант 2,Женский,Китай,"Короткий пуховик с капюшоном

- Пуховик прямого силуэта с рукавом-реглан
- Несъёмный капюшон
- Карманы по шву на молнии
- Асимметричная застёжка на кнопки

- Длина: 63 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Вьетнам
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/83f/686_950_57d6/37608180299.jpg,6999,0,create
Пуховик средней длины с капюшоном вариант 3,Женский,Вьетнам,"Пуховик средней длины с капюшоном

- Несъёмный капюшон
- 3 внешних кармана и 1 внутренний карман
- Застёжка на молнию
- Трикотажные манжеты на рукавах
- Длина: 101 см

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/b13/686_950_0440/37609270299.jpg,7999,0,create
Пуховик с капюшоном и контрастной фурнитурой вариант 2,Женский,Россия,"Пуховик с капюшоном и контрастной фурнитурой

- Пуховик расклешённого силуэта
- Несъёмный капюшон с регулировкой
- Карманы на молниях
- Застёжка на молнию
- Ветрозащитная планка
- Трикотажная резинка на манжетах

- Длина: 69 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Полиэстер; Утеплитель: 70% Пух утиный серый, 30% Перо; Утеплитель Рукава, Капюшона: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/e11/686_950_56ba/38365240299.jpg,2999,0,create
Утепленная длинная куртка с капюшоном вариант 2,Женский,Китай,"Утепленная длинная куртка с капюшоном

- Пуховик прямого силуэта
- Несъемный капюшон с регулировкой и воротником-стойкой
- Карманы-листочки
- Застежка на молнию
- Ветрозащитная планка
- Декоративный шеврон на рукаве

- Длина: 89,5 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Вьетнам
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/740/686_950_1936/38666000299.jpg,8879,0,create
Длинное пальто с капюшоном вариант 3,Женский,Вьетнам,"Длинное пальто с капюшоном

- Несъёмный капюшон
- 2 внешних кармана на молнии и 1 внутренний карман
- Застёжка на молнию
- Длина: 105 см

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/793/686_950_e005/37608820299.jpg,4599,0,create
Утепленная парка с капюшоном вариант 3,Женский,Китай,"Утепленная парка с капюшоном

- Несъемный капюшон
- 2 больших накладных кармана и 1 внутренний карман
- Застежка на молнию
- Ветрозащитная планка
- Декоративный текст на рукаве

- Длина: 80 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/82d/686_950_fc7d/37449840299.jpg,9754,0,create
Пуховик средней длины с капюшоном вариант 4,Женский,Россия,"Пуховик средней длины с капюшоном

- Несъёмный капюшон
- Рукава-регланы
- 2 внешних кармана на молнии и 1 внутренний карман
- Застёжка на молнию
- Ветрозащитная планка
- Длина: 82,5 см

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Состав: Верх: 100% Нейлон; Подкл: 100% Полиэстер; Наполнитель для тела: 70% Пух утиный серый, 30% Перо; Утеплитель Рукава, Капюшона: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/874/686_950_b46b/37489140299.jpg,7967,0,create
Утепленная парка с капюшоном вариант 4,Женский,Китай,"Утепленная парка с капюшоном

- Несъемный капюшон
- 2 больших накладных кармана и 1 внутренний карман
- Застежка на молнию
- Ветрозащитная планка
- Декоративный текст на рукаве

- Длина: 80 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/cbe/686_950_30b1/37449770299.jpg,3999,0,create
Длинное пальто с капюшоном вариант 4,Женский,Вьетнам,"Длинное пальто с капюшоном

- Несъёмный капюшон
- 2 внешних кармана на молнии и 1 внутренний карман
- Застёжка на молнию
- Длина: 105 см

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/81a/686_950_9a04/37489220299.jpg,13999,0,create
Длинный пуховик с контрастной фурнитурой вариант 4,Женский,Китай,"Длинный пуховик с контрастной фурнитурой

- Несъёмный капюшон
- 5 внешних карманов и 1 внутренний карман
- Застёжка на молнию и кнопки
- Ветрозащитная планка
- Манжеты на рукавах
- Разрезы по бокам на кнопках
- Потайная кулиска

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Состав: Верх: 100% Полиэстер; Подкл: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/26a/686_950_a5d7/37609000299.jpg,6999,0,create
Ультралегкая куртка с воротником-стойкой и застежкой на пластиковых кнопках вариант 2,Женский,Китай,"Ультралегкая куртка с воротником-стойкой и застежкой на пластиковых кнопках

- Куртка прилегающего силуэта
- Воротник-стойка
- Карманы вдоль шва
- Застежка на пуговицах

- Длина: 56 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Нейлон; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/8c2/686_950_17de/37373630299.jpg,2499,0,create
Утеплённая куртка вариант 1,Мужской,Россия,"Утеплённая куртка

- Ткань верха с водоотталкивающей пропиткой
- Несъёмный регулируемый капюшон
- Застёжка на молнию и кнопки
- Ветрозащитная планка
- 2 внутренних и 2 внешних кармана
- Длина: 94 см

Размер модели на фото: M (32/32)
Рост модели на фото: 189 см.
Параметры модели на фото:
грудь: 102
талия: 85
бёдра: 98

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/0bc/686_950_ec39/38657410299.jpg,6999,20,create
